"Element ID","Component Name","Tensor(Element Stresses (2D & 3D))","Load Case",

1,PSHELL_1,-4.557E+01 -1.523E+01  0.000E+00  1.827E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
2,PSHELL_1,-5.538E+01 -1.084E+01  0.000E+00  1.794E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
3,PSHELL_1,-4.621E+01 -9.936E+00  0.000E+00  2.360E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
4,PSHELL_2,-6.434E+01 -2.201E+01  0.000E+00  2.202E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
5,PSHELL_2,-5.849E+01 -7.992E+00  0.000E+00  1.791E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
6,PSHELL_2,-6.342E+01 -5.996E+00  0.000E+00  1.968E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
7,PSHELL_3,-6.281E+01 -2.599E+01  0.000E+00  2.197E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
8,PSHELL_3,-6.380E+01 -1.069E+01  0.000E+00  1.774E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
9,PSHELL_3,-6.244E+01  6.800E-01  0.000E+00  1.991E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
10,PSHELL_4,-5.844E+01 -3.113E+01  0.000E+00  2.349E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
11,PSHELL_4,-6.313E+01 -1.175E+01  0.000E+00  1.431E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
12,PSHELL_4,-6.711E+01  6.874E+00  0.000E+00  2.274E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
13,PSHELL_5,-5.768E+01 -2.081E+01  0.000E+00  3.761E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
14,PSHELL_5,-6.264E+01 -1.206E+01  0.000E+00  3.071E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
15,PSHELL_5,-6.745E+01 -3.126E+00  0.000E+00  3.748E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
16,PSHELL_6,-6.745E+01 -3.126E+00  0.000E+00  3.748E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
17,PSHELL_6,-6.264E+01 -1.206E+01  0.000E+00  3.071E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
18,PSHELL_6,-5.768E+01 -2.081E+01  0.000E+00  3.761E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
19,PSHELL_7,-6.711E+01  6.874E+00  0.000E+00  2.274E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
20,PSHELL_7,-6.313E+01 -1.175E+01  0.000E+00  1.431E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
21,PSHELL_7,-5.844E+01 -3.113E+01  0.000E+00  2.349E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
22,PSHELL_8,-6.244E+01  6.800E-01  0.000E+00  1.991E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
23,PSHELL_8,-6.380E+01 -1.069E+01  0.000E+00  1.774E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
24,PSHELL_8,-6.281E+01 -2.599E+01  0.000E+00  2.197E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
25,PSHELL_9,-6.342E+01 -5.996E+00  0.000E+00  1.968E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
26,PSHELL_9,-5.849E+01 -7.992E+00  0.000E+00  1.791E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
27,PSHELL_9,-6.434E+01 -2.201E+01  0.000E+00  2.202E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
28,PSHELL_10,-4.621E+01 -9.936E+00  0.000E+00  2.360E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
29,PSHELL_10,-5.538E+01 -1.084E+01  0.000E+00  1.794E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),
30,PSHELL_10,-4.557E+01 -1.523E+01  0.000E+00  1.827E+01  0.000E+00  0.000E+00 ,Subcase 2 (LC2),

