"Element ID","Component Name","Tensor(Element Stresses (2D & 3D))","Load Case",

1,PSHELL_1,-6.667E+01  1.275E+01  0.000E+00  2.625E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
2,PSHELL_1,-8.297E+01  2.087E+01  0.000E+00  2.710E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
3,PSHELL_1,-6.763E+01  2.074E+01  0.000E+00  3.697E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
4,PSHELL_2,-9.767E+01  2.415E+00  0.000E+00  3.452E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
5,PSHELL_2,-8.950E+01  2.535E+01  0.000E+00  2.704E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
6,PSHELL_2,-9.629E+01  2.660E+01  0.000E+00  2.846E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
7,PSHELL_3,-9.414E+01 -2.962E+00  0.000E+00  3.347E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
8,PSHELL_3,-9.616E+01  2.002E+01  0.000E+00  2.679E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
9,PSHELL_3,-9.357E+01  3.730E+01  0.000E+00  2.976E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
10,PSHELL_4,-8.725E+01 -1.068E+01  0.000E+00  3.539E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
11,PSHELL_4,-9.431E+01  1.834E+01  0.000E+00  2.161E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
12,PSHELL_4,-1.003E+02  4.670E+01  0.000E+00  3.441E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
13,PSHELL_5,-8.606E+01  4.837E+00  0.000E+00  5.675E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
14,PSHELL_5,-9.351E+01  1.798E+01  0.000E+00  4.637E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
15,PSHELL_5,-1.008E+02  3.155E+01  0.000E+00  5.663E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
16,PSHELL_6,-1.008E+02  3.155E+01  0.000E+00  5.663E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
17,PSHELL_6,-9.351E+01  1.798E+01  0.000E+00  4.637E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
18,PSHELL_6,-8.606E+01  4.837E+00  0.000E+00  5.675E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
19,PSHELL_7,-1.003E+02  4.670E+01  0.000E+00  3.441E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
20,PSHELL_7,-9.431E+01  1.834E+01  0.000E+00  2.161E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
21,PSHELL_7,-8.725E+01 -1.068E+01  0.000E+00  3.539E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
22,PSHELL_8,-9.357E+01  3.730E+01  0.000E+00  2.976E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
23,PSHELL_8,-9.616E+01  2.002E+01  0.000E+00  2.679E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
24,PSHELL_8,-9.414E+01 -2.962E+00  0.000E+00  3.347E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
25,PSHELL_9,-9.629E+01  2.660E+01  0.000E+00  2.846E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
26,PSHELL_9,-8.950E+01  2.535E+01  0.000E+00  2.704E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
27,PSHELL_9,-9.767E+01  2.415E+00  0.000E+00  3.452E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
28,PSHELL_10,-6.763E+01  2.074E+01  0.000E+00  3.697E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
29,PSHELL_10,-8.297E+01  2.087E+01  0.000E+00  2.710E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),
30,PSHELL_10,-6.667E+01  1.275E+01  0.000E+00  2.625E+01  0.000E+00  0.000E+00 ,Subcase 1 (LC1),

