beamsects,beamsect_dim4,beamsect_dim1,beamsect_dim2,beamsect_dim3
1,15,25,2,20
2,15,25,2,20
3,15,25,2,20
4,15,25,2,20
5,15,25,2,20
6,15,25,2,20
7,15,25,2,20
8,15,25,2,20
9,15,25,2,20
